name,year,work,link
Jake Choi,2025,,
Jiwoo Bang,2023,Samsung Electronics,
Jongbeen Han,2023,Co-founder of Radius,
Hwajung Kim,2023,Seoul National University of Science and Technology,https://sites.google.com/view/hwajung-kim
Dereje Regassa,2023,,
Woong Sul,2022,Hanyang University,
Sunggon Kim,2021,Seoul National University of Science and Technology,https://sites.google.com/view/sunggonkim
Qichen Chen,2020,SAP,
Myoungwon Oh,2020,Samsung Electronics,
Han ul Sung,2020,Sangmyung University,https://sites.google.com/view/isslab-smu/home?authuser=0
Yoon Sung Nam,2020,Samsung Electronics,
Ji Woong Park,2020,Sungshin Women's University,
SeongJae Park,2019,Amazon,
Nae Young Song,2018,Zoom,
Yong Seok Son,2018,Chung-Ang University,https://sites.google.com/view/syslab-cau
Woong Shin,2017,Oak Ridge National Laboratory,
Insoon Jo,2013,Hanyang University,
Shin-gyu Kim,2013,Samsung Electronics,
Dong In Shin,2012,SAP,
Young Jin Yu,2012,Salesforce,
Hyoungseok Kim,2011,SAP,
Hyuck Han,2011,Dongduk Women's University,
Imyoung Jung,2010,Kyungpook National University,https://www.cs.usyd.edu.au/~hyungsoo
Hyungsoo Jung,2009,Seoul National University,https://gsds.snu.ac.kr/people-post/%ec%a0%95%ed%98%95%ec%88%98
Hyunju Kim,2008,"Boeing, Inc",
Jinwook Baek,2006,Ansan University,
Namyoon Woo,2005,Google,
Inseon Lee,2004,Shingu University,
Jinbaek Kwon,2003,Sun Moon University,
Sooyong Kang,2002,Hanyang University,https://splab.hanyang.ac.kr/
Kyoungoh Lee,1999,Sun Moon University,https://ubi-lab.net/
